question,answer,answer_number,equation_solution
"James sta contando le sue carte Pokemon.Ha 30 tipi di fuoco, 20 tipi di erba e 40 tipi d'acqua.Se perde 8 del tipo d'acqua e acquista 14 tipi di erba, qual è la possibilità percentuale (arrotondata al numero intero più vicino) che una carta scelta casualmente sarà un tipo d'acqua?",,33,
"Chad ha ordinato un burrito build-your-hone a pranzo.Il burrito di base costa $ 6,50.Aggiunge carne extra per $ 2,00, formaggio extra per $ 1,00, avocado per $ 1,00 e 2 salse per $ 0,25 ciascuno.Decide di aggiornare il suo pasto per un extra di $ 3,00 che aggiungerà patatine e un drink.Ha una carta regalo per $ 5,00 che usa al check out.Quanto deve ancora?",,9,
Kalinda sta lavorando su un puzzle a 360 pezzi con sua madre.Kalinda può normalmente aggiungere 4 pezzi al minuto.Sua madre può in genere posizionare la metà dei pezzi al minuto di Kalinda.Quante ore ci vorranno per completare questo puzzle?,,1,
"Una fattoria di anguria ha prodotto 120 angurie per bambini.Ashlyn andò alla fattoria dopo due mesi e scoprì che il 30% delle angurie era pronta per il raccolto, quindi li portò a casa.Quando tornò due settimane dopo, 3/4 dei meloni rimanenti erano pronti, quindi li raccolse.Quanti meloni non erano pronti per essere raccolti dopo le due settimane?",,21,
Mark acquista una flotta di 12 auto per la sua compagnia.Ogni auto vende per $ 20.000.Paga il 10% di tasse sulle auto e poi altri $ 1000 per la registrazione su ciascuno di essi.Quanto paga per tutto?,,276000,
"Kylie e Robert si divertono ad andare in spiaggia per raccogliere conchiglie.Lunedì Kylie raccoglie 5 conchiglie in più di Robert, che raccoglie 20 proiettili.Martedì Kylie raccoglie 2 volte più conchiglie di quanto non abbia fatto lunedì.Quante conchiglie raccoglie Kylie martedì?",,50,
"Dax andò nella loro fattoria per scegliere alcune mele e trovò la metà di bug quanto le formiche nel giardino.Se c'erano 50 formiche, calcola il numero totale di insetti nel giardino.",,75,
Ci sono 36 pinguini che prendono il sole sulla neve.Un terzo di loro salta dentro e nuota nell'oceano.Un altro terzo di arrivo all'interno della grotta per cenare.Quanti pinguini sono ancora lasciati al sole?,,12,
Steve decide di iniziare a mangiare più pomodori e decide di far crescere i propri pomodorini.Mangia il doppio della sua ragazza.Mangia 6 al giorno.Se una vite può produrre 3 pomodori a settimana di quante viti ha bisogno?,,21,
John ordina ad alcune pizze di condividere con i suoi amici.Ci sono 20 amici in totale e John vuole assicurarsi che ognuno possa avere 4 fette.Le pizze vengono vendute solo in 8 porzioni.Di quante pizze deve ordinare John?,,10,
"RAM usa molte penne.Ha scoperto che può risparmiare denaro mescolando l'inchiostro da cinque penne vuote per fare una penna completa.Se acquista 25 penne e poi le usa per fare nuove penne quando l'inchiostro si abbassa, quante penne totali possono avere?",,31,
"Johnny ha preso la sua indennità di $ 20 e ha aggiunto $ 10 in più.Ha quindi investito questa somma di denaro, che ha triplicato in un anno.Quanti soldi ha avuto dopo un anno?",,90,
"Mary è due anni più giovane di Joan, che ha cinque anni più di Jessa.Se Jessa ha 20 anni, qual è la somma delle età delle tre ragazze?",,68,
"Il numero di studenti in una sala scolastica era di 1000. La sala aveva 3 ingressi A, B e C che servivano anche da uscite.Se dopo una riunione il 30% degli studenti è uscito dall'edificio attraverso l'uscita A, 3/5 dei restanti è uscito dall'uscita B, e il resto è uscito dall'uscita C, calcola il numero di studenti che sono usciti attraverso l'uscita C.",,280,
"James ha 6 caramelle in più di Robert.John ha il doppio delle caramelle di Robert.Se John ha 54 caramelle, quante più caramelle ha John di James?",,21,
"Dolly ha due libri.Pandora ne ha uno.Se sia Dolly che Pandora si leggono i libri reciproci e i loro, quanti libri leggono collettivamente entro la fine?",,6,
Mike era un amico di penna con 5 persone.Ha smesso di essere dei cenpali con 2 di loro.Ognuno di essi manda 2 lettere a settimana lunghe 5 pagine.Risponde in natura.Può scrivere una pagina ogni 6 minuti.Quante ore trascorre a scrivere una settimana?,,3,
Jason ha un piano telefonico di 1000 minuti al mese.Ogni giorno ha una chiamata di 15 minuti con il suo capo e questo mese ha avuto 300 minuti in più di chiamata.Quanti minuti è rimasto Jason se questo mese ha 30 giorni?,,250,
"Griffin aveva 24 patatine fritte, ma Kyle ne prese 5.Billy ne ha preso il doppio di Kyle.Ginger diede a Griffin una manciata di patatine, e poi Colby prese da Griffin 3 in meno rispetto al numero di patatine che Kyle aveva preso.Se alla fine Griffin aveva 27 patatine, quante patatine fritte dava Griffin?",,20,
"Ci sono 4 lumache in un acquario e 32 lumache in un altro acquario.La differenza tra il numero di lumache nei due acquari è il doppio della quantità di pesce in entrambi gli acquari.Se entrambi gli acquari hanno lo stesso numero di pesci, quanti pesci ci sono in ogni acquario?",,7,
"La truccatrice dei jeans carica $ 250 l'ora.Richiede un trucco molto costoso per un film in cui si trova e ci vogliono 6 ore per fare ogni giorno e ne ha bisogno fatti 4 volte a settimana.Il film richiede 5 settimane per finire.Dopo che il film è stato fatto, il truccatore dà a Jean uno sconto del 10% a causa della quantità di lavoro svolto.Quanto ha pagato Jean?",,27000,
"Isabelle ha acquistato materiali per feste per la festa di compleanno della sua sorellina.Ha speso $ 12 per gli ingredienti per la torta, $ 43 per regali di compleanno, $ 15 in decorazioni, $ 4 su inviti e $ 22 su borse Goodie per gli ospiti della festa.Ha diviso i costi in modo uniforme con i suoi due genitori.Quanti dollari ha pagato ogni persona?",,32,
"Uno chef ha acquistato 4 sacchi di cipolle.Ogni borsa pesa 50 libbre.Una libbra di cipolle costa $ 1,50.Quanto ha speso lo chef?",,300,
"Lunedì Sue ha mangiato 4 volte più biscotti di sua sorella.Martedì ha mangiato il doppio dei biscotti di sua sorella.Sua sorella ha mangiato 5 biscotti lunedì e 13 il giorno successivo.Se 1 biscotto ha 200 calorie, quante più calorie hanno consumato Sue di sua sorella?",,5600,
